Folio,Ligne,Forme_abregee,Expansion,Type,Frequence_cumulee,Remarque
236r,1,dñi,Domini,nomen_sacrum,1,contraction_standard
236r,1,dñs,Dominus,nomen_sacrum,1,contraction_standard
236r,1,q̄,quod,suspension_lexicale,1,valeur_contextuelle
236r,2,q̄,qui,suspension_lexicale,2,valeur_contextuelle
236r,2,n̄,non,suspension_nasale,1,
236r,2,ē,enim,suspension_lexicale,1,
236r,2,t̄,tamen,suspension_lexicale,1,
236r,3,ā,-am,suspension_nasale,1,finale
236r,3,ō,-um,suspension_nasale,1,finale
236r,3,ī,-in,suspension_nasale,1,finale
236r,4,p̄,per,suspension_lexicale,1,alternance_avec_ꝑ
236r,4,ꝑ,per,signe_specialise,1,alternance_avec_p̄
236r,4,9,-us,morphologique,1,finale_standard
236r,4,r̄,-rum,morphologique,1,
236r,4,bꝰ,-bus,morphologique,1,
236r,4,⁊,et,tironienne,1,
236r,5,-que,-que,enclitique,1,forme_9_suscrit
236r,6,d̄e,Dei,nomen_sacrum,1,
236r,6,d̄o,Deo,nomen_sacrum,1,
236r,7,d̄n̄s,Dominus,nomen_sacrum,2,contraction_double
236r,8,x̄p̄s,Christus,nomen_sacrum,1,
236r,8,x̄p̄i,Christi,nomen_sacrum,1,
236r,9,ih̄s,Ihesus,nomen_sacrum,1,
236r,9,ih̄u,Ihesu,nomen_sacrum,1,
236r,10,est̄,est,suspension_verbale,1,
236r,11,nr̄a,nostra,contraction_pronominale,1,
236r,12,ẽ,-em,suspension_nasale,1,finale
236r,13,m̄,-men,suspension_nasale,1,valeur_contextuelle
236r,14,q͂d,quod,contraction_lexicale,1,forme_contractee
236r,15,n̄,non,suspension_nasale,2,
236r,16,ē,enim,suspension_lexicale,2,
236r,17,t̄,tamen,suspension_lexicale,2,
236r,18,9,-us,morphologique,2,
236r,19,r̄,-rum,morphologique,2,
236r,20,bꝰ,-bus,morphologique,2,
236r,21,⁊,et,tironienne,2,
236r,22,q̄,quod,suspension_lexicale,3,
236r,23,ā,-am,suspension_nasale,2,
236r,24,ō,-um,suspension_nasale,2,
236r,25,ī,-in,suspension_nasale,2,
236r,26,p̄,pro,suspension_lexicale,2,valeur_contextuelle
236r,27,ꝑ,per,signe_specialise,2,
236r,28,-que,-que,enclitique,2,
236r,29,est̄,est,suspension_verbale,2,
236r,30,dñi,Domini,nomen_sacrum,2,
236r,31,d̄e,Dei,nomen_sacrum,2,
236r,32,nr̄i,nostri,contraction_pronominale,1,
236r,33,n̄,non,suspension_nasale,3,
236r,34,t̄,tamen,suspension_lexicale,3,
236r,35,ē,enim,suspension_lexicale,3,
236r,36,9,-us,morphologique,3,
236r,37,r̄,-rum,morphologique,3,
236r,38,bꝰ,-bus,morphologique,3,
236r,39,⁊,et,tironienne,3,
236r,40,q̄,quod,suspension_lexicale,4,
